Product,Unit,Product ID,Profit,Benefits,Sales,Amount,Revenue,Total Transaction,Discount,Cost,Weekly Sales,Weekly Profit,Monthly Sales,Monthly Profit,Yearly Sales,Yearly Profit,Year,State,Country,City,Region,Segment,Sub-Category,Category,Shipping Date,Shipping Time,Order,Order ID,Order Date,E-Commerce Platform,Online Payment Gateway,Online & Offline Purchase,Purchase Price,Brand Name,Sold
cardamom,10 gram,916126f2,30.47,Essential household item,473.1,1654.31,1684.78,23,0.01,442.64,2481.24,297.65,9924.96,1190.6,119099.52,14287.2,2020,Telangana,India,Chennai,North,Home Office,Staples,Dairy,2020-02-06,5 days,8792,4834cf71,2020-01-31,Amazon,Paytm,Offline,454.16,Brand A,43
cooking oil,10 gram,0ea4293c,55.15,Essential household item,530.95,2459.87,2515.02,44,0.1,475.9,3188.77,461.79,12755.08,1847.16,153060.96,22165.92,2021,Karnataka,India,Hyderabad,South,Consumer,Spices,Dairy,2021-07-14,1 days,8349,cd6ab5b3,2021-07-11,BigBasket,Google Pay,Online,466.94,Brand D,44
egg,50 gram,2cb39bab,27.81,Essential household item,272.58,574.39,602.2,80,0.01,244.78,2292.65,248.59,9170.6,994.36,110047.2,11932.32,2022,Maharashtra,India,Kolkata,East,Consumer,Condiments,Fruits,2022-04-05,3 days,8644,723fd3c4,2022-04-04,Amazon,PhonePe,Offline,248.69,Brand D,65
black pepper,500 ml,80af3ce7,59.28,Essential household item,448.3,1419.44,1478.72,12,0.08,389.1,4170.38,364.36,16681.52,1457.44,200178.24,17489.28,2020,West Bengal,India,Delhi,East,Consumer,Bakery,Dairy,2020-06-08,5 days,6669,cda70408,2020-06-07,BigBasket,Paytm,Online,398.64,Brand A,58
sugar,10 gram,36cfc53b,10.32,Essential household item,101.58,362.6,372.92,12,0.14,91.4,926.82,100.66,3707.28,402.64,44487.36,4831.68,2024,Karnataka,India,Chennai,South,Home Office,Condiments,Fruits,2024-08-28,4 days,1725,b52044ed,2024-08-24,BigBasket,Paytm,Offline,90.46,Brand C,70
tea,50 gram,71a6c883,35.29,Essential household item,471.1,1753.74,1789.03,53,0.07,435.88,3375.96,194.85,13503.84,779.4,162046.08,9352.8,2022,Maharashtra,India,Mumbai,East,Home Office,Beverages,Fruits,2022-03-25,3 days,1462,9445227e,2022-03-19,Flipkart,PhonePe,Offline,414.56,Brand B,73
chilli powder,10 gram,66ed0230,16.42,Essential household item,222.93,282.23,298.65,28,0.02,206.53,1723.61,92.07,6894.44,368.28,82733.28,4419.36,2020,Tamil Nadu,India,Delhi,West,Corporate,Condiments,Vegetables,2020-08-21,1 days,2838,c171002e,2020-08-17,Amazon,Paytm,Offline,205.09,Brand A,51
black cumin,500 ml,a0cc9df5,1.16,Essential household item,13.83,52.66,53.82,57,0.09,12.76,106.24,8.54,424.96,34.16,5099.52,409.92,2020,Maharashtra,India,Bangalore,West,Home Office,Staples,Grocery,2020-12-22,5 days,4984,274a9e9d,2020-12-15,Amazon,Google Pay,Offline,12.38,Brand C,25
tea,100 gram,2e5f5bb5,1.97,Essential household item,15.6,59.87,61.84,24,0.1,13.73,104.82,11.55,419.28,46.2,5031.36,554.4,2023,Maharashtra,India,Delhi,East,Home Office,Bakery,Vegetables,2023-12-25,3 days,3353,b43f080b,2023-12-21,Flipkart,Razorpay,Offline,13.31,Brand C,54
coffee,50 gram,0aad6d4b,11.29,Essential household item,82.83,262.7,273.99,92,0.05,71.59,654.22,96.36,2616.88,385.44,31402.56,4625.28,2024,Telangana,India,Chennai,North,Consumer,Spices,Vegetables,2024-08-13,4 days,9122,32425e81,2024-08-10,Flipkart,Paytm,Offline,70.29,Brand D,42
turmeric powder,100 gram,ee41be66,38.5,Essential household item,425.69,1672.73,1711.23,90,0.1,387.29,4108.57,304.56,16434.28,1218.24,197211.36,14618.88,2020,West Bengal,India,Hyderabad,East,Corporate,Staples,Fruits,2020-12-08,5 days,7481,68c68c4d,2020-12-01,Amazon,Paytm,Offline,404.73,Brand D,29
coffee,1 kg,a1f365e4,4.44,Essential household item,57.43,158.09,162.53,13,0.12,53.11,396.55,43.68,1586.2,174.72,19034.4,2096.64,2021,Tamil Nadu,India,Hyderabad,West,Corporate,Condiments,Dairy,2021-07-29,2 days,5395,443cd642,2021-07-27,Flipkart,PhonePe,Offline,54.21,Brand B,82
sugar,100 gram,d8b9fc42,75.49,Essential household item,539.52,1642.88,1718.37,58,0.0,464.03,3909.6,727.48,15638.4,2909.92,187660.8,34919.04,2023,Maharashtra,India,Delhi,East,Home Office,Spices,Dairy,2023-11-19,3 days,1793,ef1198d4,2023-11-17,JioMart,Razorpay,Online,449.45,Brand C,53
salt,10 gram,a932f9ad,47.97,Essential household item,467.6,1961.69,2009.66,15,0.13,419.76,4224.3,454.46,16897.2,1817.84,202766.4,21814.08,2022,Tamil Nadu,India,Hyderabad,East,Corporate,Condiments,Dairy,2022-07-29,5 days,5162,4fddb7d9,2022-07-26,Amazon,PhonePe,Offline,440.49,Brand D,6
cooking oil,100 gram,0274a188,3.45,Essential household item,41.18,116.06,119.51,17,0.12,37.85,389.96,18.64,1559.84,74.56,18718.08,894.72,2024,Delhi,India,Mumbai,East,Corporate,Beverages,Fruits,2024-04-17,3 days,6947,76d53d65,2024-04-12,JioMart,Razorpay,Offline,38.43,Brand C,4
mustard seed,10 gram,2084389e,49.93,Essential household item,519.82,605.94,655.87,83,0.06,469.95,3794.89,497.62,15179.56,1990.48,182154.72,23885.76,2021,Telangana,India,Delhi,North,Corporate,Bakery,Dairy,2021-02-26,5 days,2915,87bc8665,2021-02-21,JioMart,Google Pay,Offline,474.33,Brand C,10
cornflour,50 gram,fd534d9a,23.33,Essential household item,181.58,704.01,727.34,39,0.06,158.31,1265.24,181.66,5060.96,726.64,60731.52,8719.68,2024,Delhi,India,Kolkata,East,Consumer,Beverages,Grocery,2024-09-21,4 days,5118,dd1c7375,2024-09-17,Flipkart,Google Pay,Online,154.63,Brand C,97
white pepper,100 gram,b9e26964,18.14,Essential household item,152.86,209.67,227.81,27,0.05,134.77,1271.33,155.34,5085.32,621.36,61023.84,7456.32,2022,Delhi,India,Chennai,East,Corporate,Bakery,Dairy,2022-12-09,2 days,4546,0bd88de8,2022-12-02,Amazon,Google Pay,Offline,133.72,Brand C,82
chilli powder,100 gram,611a48e2,10.01,Essential household item,77.82,308.74,318.75,37,0.07,67.88,481.16,76.45,1924.64,305.8,23095.68,3669.6,2022,Karnataka,India,Hyderabad,West,Consumer,Spices,Fruits,2022-07-20,2 days,6097,1ab25bb2,2022-07-17,Amazon,Google Pay,Offline,68.27,Brand B,75
sugar,500 ml,3046c6a3,64.43,Essential household item,465.42,1317.54,1381.97,95,0.11,401.1,2829.28,361.73,11317.12,1446.92,135805.44,17363.04,2020,Telangana,India,Hyderabad,South,Corporate,Staples,Grocery,2020-01-05,4 days,1571,cf0bdad3,2020-01-04,JioMart,Razorpay,Online,411.62,Brand A,26
cooking oil,1 kg,dbe97d26,68.72,Essential household item,515.82,1124.4,1193.12,45,0.13,447.23,4557.71,348.75,18230.84,1395.0,218770.08,16740.0,2021,Tamil Nadu,India,Bangalore,North,Home Office,Beverages,Fruits,2021-04-09,1 days,7924,0d57d52c,2021-04-07,Amazon,PhonePe,Online,451.02,Brand B,84
sugar,10 gram,917c1f8d,31.46,Essential household item,240.17,783.97,815.43,56,0.12,208.83,1786.13,208.64,7144.52,834.56,85734.24,10014.72,2024,Delhi,India,Delhi,East,Home Office,Condiments,Fruits,2024-05-08,5 days,4752,08c66f24,2024-05-07,Amazon,Paytm,Online,218.82,Brand D,72
black pepper,50 gram,89e6142e,26.01,Essential household item,262.63,463.9,489.91,57,0.12,236.74,1574.56,243.86,6298.24,975.44,75578.88,11705.28,2021,Karnataka,India,Hyderabad,North,Home Office,Staples,Grocery,2021-05-09,3 days,4852,5c68f61d,2021-05-06,Amazon,Paytm,Offline,227.95,Brand C,48
pasta,50 gram,1cfd53fc,32.77,Essential household item,231.55,667.53,700.3,8,0.13,198.91,1259.02,215.46,5036.08,861.84,60432.96,10342.08,2022,Tamil Nadu,India,Hyderabad,South,Home Office,Bakery,Grocery,2022-07-15,3 days,3808,4d8ef74d,2022-07-12,BigBasket,Google Pay,Online,191.97,Brand C,91
sugar,50 gram,46702005,22.88,Essential household item,286.0,488.99,511.87,94,0.1,263.22,1936.77,166.18,7747.08,664.72,92964.96,7976.64,2023,West Bengal,India,Bangalore,South,Home Office,Beverages,Dairy,2023-04-03,3 days,5035,5c1cc96e,2023-03-28,BigBasket,Razorpay,Online,257.03,Brand B,27
sugar,500 ml,85194ca4,38.35,Essential household item,257.96,1160.56,1198.91,30,0.14,219.75,1398.53,323.51,5594.12,1294.04,67129.44,15528.48,2021,Karnataka,India,Delhi,South,Corporate,Spices,Grocery,2021-06-05,4 days,4476,1e9a1b8c,2021-06-03,Amazon,PhonePe,Offline,221.45,Brand A,46
white pepper,500 ml,b9c045d8,39.32,Essential household item,484.44,1373.94,1413.26,37,0.05,445.17,3629.33,246.68,14517.32,986.72,174207.84,11840.64,2021,West Bengal,India,Hyderabad,East,Consumer,Spices,Dairy,2021-01-28,2 days,9624,6cd8004f,2021-01-25,BigBasket,Google Pay,Offline,463.34,Brand B,26
pasta,500 ml,158d9dcf,16.16,Essential household item,117.59,525.61,541.77,37,0.02,101.45,642.0,101.28,2568.0,405.12,30816.0,4861.44,2024,Tamil Nadu,India,Chennai,South,Consumer,Beverages,Grocery,2024-03-27,3 days,1986,4d6ef51e,2024-03-23,BigBasket,PhonePe,Online,105.71,Brand D,76
clove,100 gram,63f5fc16,43.89,Essential household item,511.43,1269.11,1313.0,5,0.1,467.64,5075.97,387.67,20303.88,1550.68,243646.56,18608.16,2021,Delhi,India,Bangalore,West,Corporate,Spices,Vegetables,2021-03-11,3 days,1660,b53b0500,2021-03-07,Flipkart,Google Pay,Online,484.12,Brand C,13
rice,50 gram,a11687aa,29.46,Essential household item,349.66,379.86,409.32,70,0.09,320.29,3026.47,259.46,12105.88,1037.84,145270.56,12454.08,2021,Maharashtra,India,Chennai,North,Corporate,Staples,Dairy,2021-01-30,4 days,7784,5ddae697,2021-01-28,Amazon,Razorpay,Offline,309.89,Brand C,72
cinnamon,10 gram,7ecaabc9,71.82,Essential household item,447.53,1205.34,1277.16,98,0.01,375.72,3597.79,462.72,14391.16,1850.88,172693.92,22210.56,2023,Telangana,India,Kolkata,South,Corporate,Bakery,Dairy,2023-09-26,5 days,8331,e6ebf28b,2023-09-22,BigBasket,PhonePe,Offline,383.94,Brand B,81
turmeric powder,500 ml,32ef6f67,59.54,Essential household item,390.22,1619.7,1679.24,65,0.07,330.75,3299.9,325.41,13199.6,1301.64,158395.2,15619.68,2021,Maharashtra,India,Chennai,South,Home Office,Condiments,Fruits,2021-11-22,4 days,5555,1b184906,2021-11-18,Flipkart,Paytm,Online,317.44,Brand A,99
split grain,500 ml,2789ec7a,85.56,Essential household item,528.09,872.9,958.46,75,0.1,442.63,4790.83,526.7,19163.32,2106.8,229959.84,25281.6,2020,Delhi,India,Mumbai,South,Corporate,Beverages,Vegetables,2020-02-28,2 days,6153,f1584177,2020-02-22,BigBasket,Razorpay,Offline,435.11,Brand C,19
chilli powder,500 ml,85310022,33.61,Essential household item,271.88,1126.38,1159.99,5,0.02,238.29,2458.82,202.57,9835.28,810.28,118023.36,9723.36,2023,Maharashtra,India,Delhi,South,Corporate,Beverages,Grocery,2023-11-04,2 days,2341,825c9763,2023-10-28,Flipkart,Google Pay,Offline,235.94,Brand A,14
cornflour,100 gram,fd9c9398,12.55,Essential household item,181.0,719.16,731.71,88,0.14,168.59,1577.42,68.97,6309.68,275.88,75716.16,3310.56,2023,Telangana,India,Bangalore,West,Consumer,Spices,Fruits,2023-06-19,3 days,1458,06b5d8f9,2023-06-14,BigBasket,Google Pay,Offline,175.25,Brand A,98
turmeric powder,500 ml,9fa2278b,56.66,Essential household item,353.62,434.91,491.57,9,0.03,296.99,2913.53,506.95,11654.12,2027.8,139849.44,24333.6,2020,Karnataka,India,Bangalore,West,Consumer,Beverages,Grocery,2020-06-26,2 days,1228,9f1ced98,2020-06-23,Amazon,Razorpay,Offline,311.26,Brand B,32
tea,50 gram,d4fd29ca,22.07,Essential household item,133.65,263.67,285.74,81,0.06,111.64,848.48,149.51,3393.92,598.04,40727.04,7176.48,2024,Delhi,India,Delhi,East,Consumer,Spices,Grocery,2024-05-02,3 days,3102,ebda3518,2024-04-28,JioMart,Paytm,Offline,115.49,Brand A,80
turmeric powder,100 gram,eae2f129,75.99,Essential household item,461.8,1465.81,1541.8,74,0.14,385.95,4055.02,629.29,16220.08,2517.16,194640.96,30205.92,2023,Delhi,India,Delhi,West,Consumer,Bakery,Fruits,2023-11-04,2 days,1506,eb6e4809,2023-10-31,Flipkart,Razorpay,Online,377.39,Brand D,8
split grain,10 gram,63dbfe55,4.86,Essential household item,49.15,73.08,77.94,8,0.02,44.31,389.15,35.72,1556.6,142.88,18679.2,1714.56,2022,West Bengal,India,Chennai,West,Corporate,Condiments,Dairy,2022-12-24,3 days,6702,40c70f04,2022-12-17,Flipkart,Razorpay,Offline,44.36,Brand D,29
black cumin,100 gram,46f580fe,5.31,Essential household item,86.7,142.32,147.63,12,0.13,81.52,575.47,28.24,2301.88,112.96,27622.56,1355.52,2023,Delhi,India,Delhi,South,Corporate,Staples,Dairy,2023-08-20,2 days,9096,39320d0d,2023-08-16,BigBasket,PhonePe,Online,79.95,Brand A,51
cinnamon,100 gram,6cf002fd,50.59,Essential household item,434.77,673.03,723.62,79,0.02,384.2,2406.15,275.91,9624.6,1103.64,115495.2,13243.68,2023,Tamil Nadu,India,Hyderabad,West,Consumer,Spices,Dairy,2023-01-17,5 days,7839,9cfd4a95,2023-01-16,Flipkart,Paytm,Offline,369.54,Brand B,89
mustard seed,500 ml,7dca9ef4,23.6,Essential household item,323.12,550.57,574.17,21,0.1,299.62,2389.71,127.22,9558.84,508.88,114706.08,6106.56,2020,Tamil Nadu,India,Bangalore,South,Consumer,Spices,Vegetables,2020-02-12,3 days,9596,a0d54d8b,2020-02-06,BigBasket,Razorpay,Offline,297.09,Brand D,14
pasta,100 gram,c27b7d54,31.1,Essential household item,215.13,823.59,854.69,86,0.03,184.06,1402.29,236.86,5609.16,947.44,67309.92,11369.28,2022,West Bengal,India,Kolkata,West,Consumer,Bakery,Grocery,2022-10-27,2 days,7857,1222ec60,2022-10-25,JioMart,Razorpay,Offline,179.01,Brand C,21
mustard seed,10 gram,77f018fe,36.86,Essential household item,368.4,965.87,1002.73,82,0.13,331.67,2896.79,245.41,11587.16,981.64,139045.92,11779.68,2022,West Bengal,India,Delhi,West,Corporate,Staples,Fruits,2022-05-13,4 days,4009,efa8db40,2022-05-07,Flipkart,Razorpay,Online,344.41,Brand D,31
black cumin,100 gram,85c1f54d,38.12,Essential household item,378.66,1729.93,1768.05,90,0.04,340.58,3603.78,199.42,14415.12,797.68,172981.44,9572.16,2021,Maharashtra,India,Delhi,West,Home Office,Condiments,Dairy,2021-12-03,2 days,6956,f9a755df,2021-12-01,BigBasket,PhonePe,Offline,341.71,Brand A,23
butter,1 kg,7d578f45,17.59,Essential household item,109.59,149.23,166.82,88,0.15,92.15,776.31,100.4,3105.24,401.6,37262.88,4819.2,2022,West Bengal,India,Kolkata,North,Home Office,Spices,Grocery,2022-09-29,2 days,3800,4d21a694,2022-09-23,Flipkart,Google Pay,Offline,91.69,Brand C,89
white pepper,500 ml,2e113e8c,44.92,Essential household item,299.93,357.78,402.7,58,0.1,255.11,1711.63,444.26,6846.52,1777.04,82158.24,21324.48,2020,Delhi,India,Bangalore,South,Home Office,Spices,Dairy,2020-06-28,1 days,9462,d78592a6,2020-06-24,Flipkart,PhonePe,Online,247.22,Brand C,43
split grain,100 gram,5af4f124,77.64,Essential household item,569.7,2393.79,2471.43,42,0.03,492.09,5386.85,745.57,21547.4,2982.28,258568.8,35787.36,2024,Delhi,India,Delhi,South,Consumer,Spices,Dairy,2024-11-27,1 days,9477,176ba712,2024-11-25,BigBasket,Razorpay,Offline,485.02,Brand A,75
rice,1 kg,a9cc812a,31.47,Essential household item,258.15,363.86,395.33,7,0.05,226.73,1674.91,167.39,6699.64,669.56,80395.68,8034.72,2021,Maharashtra,India,Bangalore,East,Home Office,Spices,Vegetables,2021-01-25,5 days,3506,094ae003,2021-01-20,JioMart,PhonePe,Online,227.06,Brand A,16
chilli powder,100 gram,f7490c95,23.06,Essential household item,260.33,993.16,1016.22,53,0.01,237.28,2090.53,171.87,8362.12,687.48,100345.44,8249.76,2024,Karnataka,India,Bangalore,South,Corporate,Staples,Vegetables,2024-07-27,1 days,8162,0e673b99,2024-07-26,BigBasket,Razorpay,Online,235.73,Brand C,87
rice,1 kg,3532d9c4,21.65,Essential household item,176.38,696.15,717.8,21,0.04,154.77,1227.65,117.8,4910.6,471.2,58927.2,5654.4,2024,Maharashtra,India,Delhi,North,Corporate,Spices,Fruits,2024-10-10,4 days,7493,47c1d7cc,2024-10-07,JioMart,Google Pay,Online,162.15,Brand D,1
cornflour,10 gram,ef5d2cd0,80.48,Essential household item,508.78,1417.6,1498.08,56,0.04,428.34,3040.55,436.7,12162.2,1746.8,145946.4,20961.6,2021,Maharashtra,India,Delhi,North,Corporate,Spices,Grocery,2021-07-21,3 days,8925,c1967ef4,2021-07-16,Flipkart,PhonePe,Offline,417.16,Brand C,61
rice,50 gram,9f59d8c0,24.68,Essential household item,408.93,1517.68,1542.36,99,0.12,384.37,3370.48,136.57,13481.92,546.28,161783.04,6555.36,2021,Tamil Nadu,India,Chennai,East,Home Office,Spices,Fruits,2021-07-21,3 days,9149,ab76af79,2021-07-16,JioMart,Paytm,Online,369.68,Brand A,43
coffee,10 gram,c3074f22,40.92,Essential household item,449.83,1779.19,1820.11,21,0.06,408.97,2809.8,392.04,11239.2,1568.16,134870.4,18817.92,2020,Tamil Nadu,India,Mumbai,South,Corporate,Staples,Vegetables,2020-11-23,2 days,4272,7c969c8e,2020-11-17,Amazon,Google Pay,Online,402.33,Brand D,91
split grain,10 gram,f786e163,35.66,Essential household item,499.11,2402.86,2438.52,37,0.13,463.58,2824.75,331.22,11299.0,1324.88,135588.0,15898.56,2023,Karnataka,India,Hyderabad,West,Consumer,Beverages,Dairy,2023-08-17,5 days,8541,8eaeca94,2023-08-11,Amazon,Google Pay,Online,454.75,Brand A,61
rice,500 ml,66b705f9,79.88,Essential household item,492.04,993.18,1073.06,87,0.12,412.28,3407.94,589.45,13631.76,2357.8,163581.12,28293.6,2021,Delhi,India,Bangalore,South,Corporate,Spices,Dairy,2021-01-14,1 days,3330,425b43d8,2021-01-11,Flipkart,PhonePe,Online,431.95,Brand D,12
turmeric powder,1 kg,8a90446e,65.97,Essential household item,423.36,563.86,629.83,13,0.13,357.52,2791.75,369.49,11167.0,1477.96,134004.0,17735.52,2023,West Bengal,India,Hyderabad,East,Corporate,Spices,Vegetables,2023-08-12,4 days,6539,220e45b0,2023-08-11,JioMart,Paytm,Online,348.93,Brand C,1
clove,50 gram,e5f0fc78,35.32,Essential household item,358.61,1180.83,1216.15,62,0.07,323.36,3542.51,179.03,14170.04,716.12,170040.48,8593.44,2021,Tamil Nadu,India,Hyderabad,North,Home Office,Condiments,Fruits,2021-05-25,3 days,1971,24047bb3,2021-05-18,BigBasket,PhonePe,Offline,330.96,Brand B,51
sugar,500 ml,c5b7475b,38.48,Essential household item,456.59,1503.17,1541.65,16,0.08,418.19,2919.7,258.02,11678.8,1032.08,140145.6,12384.96,2021,Maharashtra,India,Kolkata,East,Corporate,Staples,Dairy,2021-09-22,3 days,2774,0023f71f,2021-09-18,Amazon,PhonePe,Offline,435.74,Brand D,55
black pepper,50 gram,30e693f5,18.88,Essential household item,240.18,430.84,449.72,87,0.11,221.41,1482.0,115.57,5928.0,462.28,71136.0,5547.36,2022,Karnataka,India,Hyderabad,East,Home Office,Condiments,Fruits,2022-05-12,3 days,7846,2dc72454,2022-05-08,JioMart,Paytm,Online,230.06,Brand D,7
turmeric powder,10 gram,3b2035a6,28.02,Essential household item,170.32,779.28,807.3,2,0.01,142.31,1394.89,169.03,5579.56,676.12,66954.72,8113.44,2023,Telangana,India,Kolkata,East,Consumer,Spices,Dairy,2023-06-15,5 days,7964,f76f2424,2023-06-09,BigBasket,Paytm,Offline,137.27,Brand D,5
split grain,10 gram,c03e8e55,24.15,Essential household item,501.64,1670.04,1694.19,52,0.0,477.49,4403.87,188.71,17615.48,754.84,211385.76,9058.08,2024,Telangana,India,Delhi,North,Home Office,Beverages,Grocery,2024-06-12,2 days,9787,0e87c883,2024-06-10,Amazon,Paytm,Offline,454.9,Brand D,39
bread,10 gram,42feecd9,17.47,Essential household item,293.36,819.18,836.65,7,0.14,276.03,2070.78,159.85,8283.12,639.4,99397.44,7672.8,2022,Karnataka,India,Bangalore,South,Corporate,Spices,Dairy,2022-09-19,2 days,6088,272ce196,2022-09-18,Flipkart,Google Pay,Offline,287.55,Brand D,40
pasta,50 gram,91d7b608,2.93,Essential household item,18.13,50.25,53.18,23,0.04,15.24,123.76,29.24,495.04,116.96,5940.48,1403.52,2021,Karnataka,India,Chennai,North,Consumer,Bakery,Vegetables,2021-09-02,2 days,4794,f7e9a11f,2021-08-29,JioMart,Razorpay,Online,14.53,Brand D,71
butter,500 ml,7147033e,18.5,Essential household item,353.11,1507.1,1525.6,100,0.01,334.62,3030.13,171.2,12120.52,684.8,145446.24,8217.6,2020,West Bengal,India,Hyderabad,West,Corporate,Condiments,Grocery,2020-05-24,5 days,6219,7840a77f,2020-05-23,Amazon,PhonePe,Online,333.18,Brand A,65
clove,10 gram,a01c22fe,39.28,Essential household item,383.19,429.51,468.79,73,0.06,343.97,2190.38,271.12,8761.52,1084.48,105138.24,13013.76,2021,Tamil Nadu,India,Mumbai,East,Consumer,Beverages,Grocery,2021-04-30,3 days,4105,99988291,2021-04-25,Amazon,Razorpay,Online,351.07,Brand B,64
black pepper,10 gram,9bf6b449,56.28,Essential household item,428.8,1646.93,1703.21,87,0.03,372.55,2986.23,319.59,11944.92,1278.36,143339.04,15340.32,2021,Tamil Nadu,India,Chennai,North,Consumer,Spices,Dairy,2021-03-08,3 days,4916,03401707,2021-03-05,Flipkart,Google Pay,Offline,369.28,Brand A,92
cumin powder,10 gram,70ef3c2f,24.6,Essential household item,220.49,644.18,668.78,23,0.06,195.95,1538.94,194.89,6155.76,779.56,73869.12,9354.72,2023,West Bengal,India,Chennai,West,Home Office,Staples,Dairy,2023-11-24,1 days,9626,b7687732,2023-11-20,BigBasket,Google Pay,Offline,188.78,Brand C,10
black cumin,1 kg,8b31a03d,8.81,Essential household item,66.92,81.36,90.17,29,0.13,58.24,582.46,80.45,2329.84,321.8,27958.08,3861.6,2023,Telangana,India,Chennai,North,Consumer,Condiments,Grocery,2023-04-18,1 days,6276,b8f92632,2023-04-11,BigBasket,Google Pay,Offline,55.74,Brand D,64
split grain,50 gram,0cce955d,19.92,Essential household item,184.26,847.9,867.82,78,0.08,164.42,1676.53,146.64,6706.12,586.56,80473.44,7038.72,2022,Maharashtra,India,Mumbai,North,Home Office,Staples,Dairy,2022-04-10,3 days,4288,704dcfaf,2022-04-03,JioMart,Google Pay,Offline,164.48,Brand C,88
black pepper,10 gram,1d2c5fcc,6.55,Essential household item,45.92,135.75,142.3,91,0.15,39.52,251.81,36.77,1007.24,147.08,12086.88,1764.96,2022,Telangana,India,Kolkata,East,Corporate,Spices,Grocery,2022-03-31,3 days,2062,e8c5bc42,2022-03-29,JioMart,Razorpay,Offline,37.64,Brand D,98
split grain,10 gram,67b763f8,41.6,Essential household item,350.9,790.34,831.94,3,0.08,309.38,2572.17,287.2,10288.68,1148.8,123464.16,13785.6,2020,Delhi,India,Delhi,West,Home Office,Staples,Vegetables,2020-11-08,3 days,7283,78881fd4,2020-11-05,Flipkart,Paytm,Offline,305.68,Brand A,10
clove,10 gram,86c96d63,20.29,Essential household item,213.9,509.79,530.08,15,0.15,193.76,1741.47,152.05,6965.88,608.2,83590.56,7298.4,2022,Telangana,India,Kolkata,East,Home Office,Beverages,Grocery,2022-08-11,2 days,1958,19873022,2022-08-05,Flipkart,Razorpay,Online,199.89,Brand D,69
egg,100 gram,5123e3c3,2.14,Essential household item,12.69,29.4,31.54,39,0.14,10.69,107.55,12.48,430.2,49.92,5162.4,599.04,2023,Telangana,India,Delhi,West,Consumer,Bakery,Grocery,2023-06-21,4 days,1506,dc684f30,2023-06-17,Flipkart,Paytm,Online,10.54,Brand A,36
egg,10 gram,598015bd,17.39,Essential household item,207.64,678.38,695.77,10,0.07,190.32,1604.49,166.93,6417.96,667.72,77015.52,8012.64,2022,Telangana,India,Bangalore,North,Corporate,Bakery,Fruits,2022-10-29,1 days,5865,32277713,2022-10-26,BigBasket,Google Pay,Online,199.0,Brand C,96
white pepper,50 gram,e81ce543,82.1,Essential household item,550.46,746.34,828.44,10,0.01,468.37,2898.79,565.56,11595.16,2262.24,139141.92,27146.88,2021,Maharashtra,India,Hyderabad,West,Home Office,Staples,Vegetables,2021-04-19,3 days,1941,48bb7e59,2021-04-16,Flipkart,Razorpay,Offline,489.19,Brand B,47
clove,1 kg,31ee593d,6.8,Essential household item,115.02,448.07,454.87,77,0.03,108.25,580.5,35.69,2322.0,142.76,27864.0,1713.12,2022,Karnataka,India,Kolkata,West,Corporate,Beverages,Grocery,2022-03-17,2 days,9701,9e6a2d5b,2022-03-15,JioMart,Google Pay,Online,103.0,Brand D,37
black pepper,100 gram,55651b1a,30.58,Essential household item,260.83,463.68,494.26,79,0.0,230.25,1418.9,192.61,5675.6,770.44,68107.2,9245.28,2022,West Bengal,India,Bangalore,West,Corporate,Spices,Dairy,2022-12-06,4 days,4594,8ed02f71,2022-12-05,Flipkart,Razorpay,Offline,236.17,Brand D,83
coffee,10 gram,1dc16aba,0.87,Essential household item,11.09,49.32,50.19,98,0.01,10.23,70.01,5.46,280.04,21.84,3360.48,262.08,2021,Delhi,India,Hyderabad,North,Home Office,Staples,Vegetables,2021-11-29,1 days,4805,c033e83b,2021-11-27,BigBasket,Razorpay,Online,10.33,Brand A,58
butter,10 gram,b5d9d48b,12.24,Essential household item,105.66,183.6,195.84,52,0.11,93.53,786.9,84.93,3147.6,339.72,37771.2,4076.64,2023,Telangana,India,Bangalore,West,Corporate,Beverages,Dairy,2023-05-02,2 days,6574,178ca6ee,2023-04-27,BigBasket,PhonePe,Online,88.95,Brand C,68
chilli powder,100 gram,9629ac8c,23.78,Essential household item,352.71,1581.26,1605.04,9,0.15,329.08,2041.9,120.81,8167.6,483.24,98011.2,5798.88,2024,Maharashtra,India,Mumbai,East,Corporate,Condiments,Dairy,2024-11-03,2 days,6537,9b7e6993,2024-10-27,Flipkart,Google Pay,Online,337.75,Brand D,8
turmeric powder,10 gram,61e45bd6,5.85,Essential household item,90.62,150.51,156.36,67,0.09,84.86,580.46,52.53,2321.84,210.12,27862.08,2521.44,2022,Karnataka,India,Chennai,West,Consumer,Beverages,Grocery,2022-05-19,1 days,1445,f7aae7b3,2022-05-17,JioMart,PhonePe,Offline,82.05,Brand B,22
tea,100 gram,45a590b6,43.37,Essential household item,431.06,1904.01,1947.38,70,0.09,387.78,3408.72,378.57,13634.88,1514.28,163618.56,18171.36,2024,Telangana,India,Hyderabad,South,Home Office,Bakery,Grocery,2024-03-03,4 days,9930,abd8efd1,2024-02-28,Flipkart,PhonePe,Online,382.87,Brand C,92
white pepper,50 gram,a9157219,16.42,Essential household item,117.07,516.68,533.1,6,0.0,100.65,1060.77,118.11,4243.08,472.44,50916.96,5669.28,2024,West Bengal,India,Chennai,East,Corporate,Staples,Dairy,2024-09-02,5 days,6022,18e01f4c,2024-08-26,BigBasket,Paytm,Online,96.04,Brand A,91
